"Year","Y0","Heritability","Race"
1986,3,0.06692566,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.1293172,"Durango"
1986,3,0.6905472,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.1585453,"Durango"
1986,3,NA,"Durango"
1986,3,NA,"Durango"
1986,3,0.6478341,"Mesoamerican"
1986,3,0.000884338,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.196565,"Mesoamerican"
1986,3,0.8112645,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.8093489,"Mesoamerican"
1986,3,0.2470374,"Mesoamerican"
1986,3,0.3293369,"Mesoamerican"
1986,3,0.6673424,"Mesoamerican"
1986,3,0.2969584,"Mesoamerican"
1986,3,0.8847762,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.9293722,"Mesoamerican"
1986,3,0.6553651,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.5399919,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.8154671,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,NA,"Mesoamerican"
1986,3,0.003094303,"Mesoamerican"
1986,3,NA,"Mesoamerican"
